"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/21/2021 11:50:03 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/21/2021 8:50:00 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/22/2021 2:49:58 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/22/2021 5:49:59 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/22/2021 8:49:58 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/23/2021 11:49:50 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/23/2021 2:49:48 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/23/2021 5:49:48 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/24/2021 5:49:44 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/24/2021 8:49:45 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/24/2021 11:50:04 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/24/2021 2:50:03 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/24/2021 5:50:04 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/24/2021 8:50:04 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/24/2021 11:50:05 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/25/2021 8:50:02 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/25/2021 2:50:01 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/25/2021 5:50:00 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/25/2021 11:49:57 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/26/2021 2:49:56 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/26/2021 5:49:56 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/26/2021 8:50:03 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/26/2021 11:50:06 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/26/2021 2:50:05 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/26/2021 5:50:04 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/26/2021 8:50:04 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/26/2021 11:50:05 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/27/2021 2:50:05 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/27/2021 5:50:03 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/27/2021 8:50:03 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/27/2021 11:50:05 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/27/2021 2:50:03 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/27/2021 5:50:03 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/27/2021 8:50:04 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/27/2021 11:50:06 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/28/2021 2:50:04 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/28/2021 5:50:05 AM","92","100","","","1"
